id,name,price,image,category,description,nutrients,calories,healthBenefits,tags
1,Red Apple,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/1/15/Red_Apple.jpg,Fruit,Juicy red apples rich in antioxidants and natural sweetness.,Vitamin C;Fiber;Antioxidants,52 kcal per 100g,Supports heart health;boosts immunity;improves digestion.,Diabetic Friendly;Best for Snack
2,Banana,₹50/dozen,https://upload.wikimedia.org/wikipedia/commons/8/8a/Banana-Single.jpg,Fruit,Fresh bananas perfect for energy and digestion.,Potassium;Vitamin B6;Fiber,89 kcal per 100g,Regulates blood pressure;provides energy;supports digestion.,Energy Booster;Kid Friendly
13,Cauliflower,₹35/kg,https://upload.wikimedia.org/wikipedia/commons/8/88/Cauliflower.JPG,Vegetable,White cruciferous veggie full of fiber.,Vitamin C;Choline;Fiber,25 kcal per 100g,Improves digestion;supports brain health.,Brain Food;Low Carb
14,Lettuce,₹25/bundle,https://upload.wikimedia.org/wikipedia/commons/a/a5/Iceberg_lettuce_in_SB.jpg,Vegetable,Crisp green lettuce.,Vitamin K;Folate;Iron,15 kcal per 100g,Promotes bone strength;good for weight loss.,Salad Base;Weight Friendly
15,Blueberries,₹200/250g,https://upload.wikimedia.org/wikipedia/commons/2/20/Blueberries.jpg,Fruit,Antioxidant-rich berries.,Vitamin C;Vitamin K;Antioxidants,57 kcal per 100g,Improves memory;reduces aging.,Brain Food;Antioxidant Rich
16,Potato,₹20/kg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Potatoes.jpg,Vegetable,Starchy root vegetable.,Carbs;Vitamin C;Potassium,77 kcal per 100g,Provides energy;supports muscle function.,Staple Food;Versatile
17,Peas,₹60/kg,https://upload.wikimedia.org/wikipedia/commons/4/44/Green_peas_on_white.jpg,Vegetable,Fresh green peas.,Protein;Fiber;Vitamin K,81 kcal per 100g,Supports weight loss;builds muscle.,Protein Rich;Snackable
18,Pomegranate,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/c/c6/Pomegranate_fruit_-_whole_and_section.jpg,Fruit,Juicy red pomegranate seeds.,Vitamin C;Potassium;Polyphenols,83 kcal per 100g,Boosts blood flow;improves skin.,Heart Healthy;Skin Booster
19,Watermelon,₹15/kg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Watermelon_cross_BNC.jpg,Fruit,Refreshing summer fruit.,Water;Lycopene;Vitamin C,30 kcal per 100g,Hydrates body;reduces blood pressure.,Hydrating;Best for Summer
20,Beetroot,₹45/kg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Beets-Bundle.jpg,Vegetable,Dark purple root veggie.,Iron;Nitrates;Folate,43 kcal per 100g,Improves blood flow;boosts stamina.,Blood Booster;Juicing
21,Onion,₹25/kg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Onion_on_White.JPG,Vegetable,Essential for most Indian dishes.,Sulfur;Vitamin C;Flavonoids,40 kcal per 100g,Anti-inflammatory;boosts immunity.,Essential;Cooking Base
22,Lemon,₹5/each,https://upload.wikimedia.org/wikipedia/commons/6/6b/Lemon_-_whole_and_cut.jpg,Fruit,Citrus and sour.,Vitamin C;Citric Acid;Potassium,29 kcal per 100g,Improves skin;alkalizes body.,Detox;Vitamin C Rich
23,Chili,₹30/100g,https://upload.wikimedia.org/wikipedia/commons/f/fd/Chili_peppers.jpg,Vegetable,Spicy green and red chilies.,Capsaicin;Vitamin C;Antioxidants,40 kcal per 100g,Boosts metabolism;fights pain.,Spicy;Metabolism Booster
24,Avocado,₹250/each,https://upload.wikimedia.org/wikipedia/commons/c/c0/Avocado_with_cross_section_edit.jpg,Fruit,Creamy and healthy fat source.,Healthy Fats;Potassium;Fiber,160 kcal per 100g,Heart healthy;reduces cholesterol.,Keto Friendly;Superfood
25,Bitter Gourd,₹35/kg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Bitter_melon_3.jpg,Vegetable,Bitter but medicinal.,Iron;Vitamin C;Momordicin,17 kcal per 100g,Lowers blood sugar;detoxifies.,Diabetic Friendly;Medicinal
26,Guava,₹40/kg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Guava_ID.jpg,Fruit,Sweet and crunchy guava.,Vitamin C;Fiber;Lycopene,68 kcal per 100g,Boosts digestion;immunity.,High Fiber;Snack Fruit
27,Brinjal,₹30/kg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Eggplant.jpg,Vegetable,Also called eggplant.,Fiber;Vitamin B1;Antioxidants,25 kcal per 100g,Good for heart;anti-cancer.,Low Calorie;Fiber Rich
28,Radish,₹20/bundle,https://upload.wikimedia.org/wikipedia/commons/8/8f/White_radish.jpg,Vegetable,Crisp and spicy root.,Fiber;Vitamin C;Folate,16 kcal per 100g,Aids digestion;clears toxins.,Digestive Aid;Winter Veg
29,Sweet Corn,₹60/kg,https://upload.wikimedia.org/wikipedia/commons/1/17/Corncobs.jpg,Vegetable,Juicy and sweet.,Carbs;Fiber;Vitamin B3,86 kcal per 100g,Boosts energy;supports eyes.,Snack;Sweet
30,Jackfruit,₹80/kg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Jackfruit_hanging.JPG,Fruit,Large and fibrous.,Vitamin C;Fiber;Potassium,95 kcal per 100g,Boosts immunity;meat substitute.,Vegan Protein;Tropical
31,Capsicum,₹50/kg,https://upload.wikimedia.org/wikipedia/commons/6/69/Bell_pepper.jpg,Vegetable,Colorful bell peppers rich in vitamins.,Vitamin C;Vitamin A;Antioxidants,20 kcal per 100g,Improves eye health;boosts immunity.,Colorful;Salad Veg
32,Apple Gourd,₹35/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Apple_gourd.jpg,Vegetable,Round and tender gourd.,Vitamin C;Fiber;Potassium,18 kcal per 100g,Good for digestion;lowers cholesterol.,Summer Veg;Digestive
33,Black Grapes,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Black_grapes.jpg,Fruit,Sweet and juicy black grapes.,Resveratrol;Vitamin C;Potassium,70 kcal per 100g,Improves heart health;antioxidant rich.,Antioxidant;Snack Fruit
34,Green Beans,₹40/kg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Green_Beans.jpg,Vegetable,Fresh and crunchy beans.,Fiber;Vitamin K;Folate,31 kcal per 100g,Supports bone health;improves digestion.,Low Calorie;Fiber Rich
35,Peach,₹150/kg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Peach_and_cross_section.jpg,Fruit,Soft and sweet summer fruit.,Vitamin C;Vitamin A;Fiber,39 kcal per 100g,Improves skin;boosts immunity.,Summer Fruit;Skin Friendly
36,Garlic,₹80/kg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Garlic.jpg,Vegetable,Strong-flavored bulb used in cooking.,Allicin;Vitamin B6;Manganese,149 kcal per 100g,Boosts immunity;reduces blood pressure.,Medicinal;Flavoring
37,Plum,₹180/kg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Plum_Fruit.jpg,Fruit,Juicy and tart purple fruit.,Vitamin C;Vitamin K;Fiber,46 kcal per 100g,Improves digestion;antioxidant rich.,Antioxidant;Snack Fruit
38,Turnip,₹25/kg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Turnip.jpg,Vegetable,White root vegetable.,Vitamin C;Fiber;Potassium,28 kcal per 100g,Supports heart health;boosts immunity.,Winter Veg;Root Veg
39,Cherry,₹250/250g,https://upload.wikimedia.org/wikipedia/commons/b/bb/Cherry_Stella444.jpg,Fruit,Small and sweet red cherries.,Vitamin C;Potassium;Antioxidants,50 kcal per 100g,Reduces inflammation;improves sleep.,Antioxidant;Dessert Fruit
40,Drumstick,₹60/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Drumstick_vegetable.jpg,Vegetable,Long green pods used in curries.,Vitamin C;Calcium;Iron,37 kcal per 100g,Strengthens bones;boosts immunity.,South Indian;Bone Health
41,Apricot,₹200/kg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Apricot_and_cross_section.jpg,Fruit,Sweet and tangy orange fruit.,Vitamin A;Vitamin C;Potassium,48 kcal per 100g,Improves skin;supports eye health.,Summer Fruit;Skin Friendly
42,Asparagus,₹180/bundle,https://upload.wikimedia.org/wikipedia/commons/0/0f/Asparagus-Bundle.jpg,Vegetable,Green stalks rich in nutrients.,Folate;Vitamin K;Fiber,20 kcal per 100g,Supports digestion;good for pregnancy.,Spring Veg;Fiber Rich
43,Bok Choy,₹60/bundle,https://upload.wikimedia.org/wikipedia/commons/6/6f/Bok_choy.jpg,Vegetable,Chinese cabbage with crisp stalks.,Vitamin C;Vitamin K;Calcium,13 kcal per 100g,Strengthens bones;boosts immunity.,Asian Veg;Leafy Green
44,Blackberry,₹250/250g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Blackberries.jpg,Fruit,Juicy and tart blackberries.,Vitamin C;Fiber;Antioxidants,43 kcal per 100g,Improves brain health;antioxidant rich.,Berry;Brain Food
45,Bottle Gourd,₹30/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Bottle_gourd.jpg,Vegetable,Light green gourd used in curries.,Vitamin C;Calcium;Fiber,14 kcal per 100g,Good for heart;supports weight loss.,Summer Veg;Low Calorie
46,Brown Mushroom,₹120/200g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Cremini_mushrooms.jpg,Vegetable,Earthy and meaty mushrooms.,Vitamin D;Selenium;Fiber,22 kcal per 100g,Boosts immunity;supports metabolism.,Mushroom;Protein Source
47,Cabbage,₹25/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Cabbage_and_cross_section.jpg,Vegetable,Leafy green or purple cabbage.,Vitamin C;Vitamin K;Fiber,25 kcal per 100g,Improves digestion;supports heart health.,Salad Base;Digestive
48,Cantaloupe,₹60/kg,https://upload.wikimedia.org/wikipedia/commons/3/36/Cantaloupe_and_cross_section.jpg,Fruit,Sweet and juicy melon.,Vitamin A;Vitamin C;Potassium,34 kcal per 100g,Hydrates body;good for skin.,Summer Fruit;Hydrating
49,Chikoo,₹80/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Chikoo.jpg,Fruit,Sweet brown tropical fruit.,Vitamin A;Vitamin C;Fiber,83 kcal per 100g,Boosts energy;improves digestion.,Tropical;Energy Booster
50,Cluster Beans,₹40/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Cluster_beans.jpg,Vegetable,Green beans used in Indian cuisine.,Fiber;Protein;Iron,16 kcal per 100g,Controls blood sugar;good for heart.,Indian Veg;Fiber Rich
51,Cranberry,₹300/250g,https://upload.wikimedia.org/wikipedia/commons/4/4b/Cranberries.jpg,Fruit,Tart red berries.,Vitamin C;Antioxidants;Fiber,46 kcal per 100g,Prevents UTI;boosts immunity.,Berry;Antioxidant
52,Custard Apple,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Custard_apple.jpg,Fruit,Sweet and creamy tropical fruit.,Vitamin C;Magnesium;Potassium,94 kcal per 100g,Boosts immunity;improves vision.,Tropical;Dessert Fruit
53,Dates,₹400/kg,https://upload.wikimedia.org/wikipedia/commons/3/36/Dates_on_date_palm.jpg,Fruit,Sweet and chewy dried fruit.,Iron;Potassium;Fiber,282 kcal per 100g,Boosts energy;improves digestion.,Dry Fruit;Energy Booster
54,Dragon Fruit,₹250/each,https://upload.wikimedia.org/wikipedia/commons/0/0c/Pitaya_cross_section_ed2.jpg,Fruit,Exotic pink fruit with white flesh.,Vitamin C;Iron;Magnesium,60 kcal per 100g,Boosts immunity;improves gut health.,Exotic;Antioxidant
55,Eggplant,₹35/kg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Eggplant.jpg,Vegetable,Also called brinjal or aubergine.,Fiber;Vitamin B1;Antioxidants,25 kcal per 100g,Good for heart;anti-cancer.,Low Calorie;Fiber Rich
56,Elderberry,₹350/250g,https://upload.wikimedia.org/wikipedia/commons/7/7c/Elderberries.jpg,Fruit,Small dark purple berries.,Vitamin C;Antioxidants;Fiber,73 kcal per 100g,Boosts immunity;fights cold.,Berry;Immunity Booster
57,Fennel,₹60/kg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Fennel_and_cross_section.jpg,Vegetable,Crunchy bulb with licorice flavor.,Vitamin C;Fiber;Potassium,31 kcal per 100g,Improves digestion;freshens breath.,Digestive;Salad Veg
58,Fig,₹300/250g,https://upload.wikimedia.org/wikipedia/commons/1/1c/Figs_on_tree.jpg,Fruit,Sweet and chewy fruit with seeds.,Calcium;Potassium;Fiber,74 kcal per 100g,Supports bone health;improves digestion.,Dry Fruit;Bone Health
59,Gooseberry,₹80/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Indian_gooseberry.jpg,Fruit,Tart green berry also called amla.,Vitamin C;Fiber;Antioxidants,44 kcal per 100g,Boosts immunity;improves hair health.,Immunity Booster;Hair Care
60,Gourd,₹30/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Bottle_gourd.jpg,Vegetable,Various edible gourds.,Vitamin C;Calcium;Fiber,14 kcal per 100g,Good for heart;supports weight loss.,Summer Veg;Low Calorie
61,Grapefruit,₹90/kg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Grapefruit_and_cross_section.jpg,Fruit,Tart and tangy citrus fruit.,Vitamin C;Vitamin A;Fiber,42 kcal per 100g,Boosts metabolism;supports weight loss.,Citrus;Weight Loss
62,Green Apple,₹140/kg,https://upload.wikimedia.org/wikipedia/commons/1/15/Green_Apple.jpg,Fruit,Tart and crisp green apples.,Vitamin C;Fiber;Potassium,52 kcal per 100g,Supports heart health;improves digestion.,Snack Fruit;Heart Healthy
63,Green Chilli,₹30/100g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Green_Chilli.jpg,Vegetable,Spicy green chili peppers.,Capsaicin;Vitamin C;Antioxidants,40 kcal per 100g,Boosts metabolism;fights pain.,Spicy;Metabolism Booster
64,Green Peppers,₹50/kg,https://upload.wikimedia.org/wikipedia/commons/6/69/Bell_pepper.jpg,Vegetable,Mild and crunchy bell peppers.,Vitamin C;Vitamin A;Antioxidants,20 kcal per 100g,Improves eye health;boosts immunity.,Colorful;Salad Veg
65,Guar,₹35/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Cluster_beans.jpg,Vegetable,Cluster beans used in Indian dishes.,Fiber;Protein;Iron,16 kcal per 100g,Controls blood sugar;good for heart.,Indian Veg;Fiber Rich
66,Honeydew Melon,₹70/kg,https://upload.wikimedia.org/wikipedia/commons/3/36/Honeydew_and_cross_section.jpg,Fruit,Sweet and juicy green melon.,Vitamin C;Potassium;Fiber,36 kcal per 100g,Hydrates body;good for skin.,Summer Fruit;Hydrating
67,Jalapeno,₹60/100g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Jalapeno.jpg,Vegetable,Medium spicy green chili.,Capsaicin;Vitamin C;Antioxidants,29 kcal per 100g,Boosts metabolism;fights pain.,Spicy;Mexican
68,Jujube,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Jujube_fruit.jpg,Fruit,Sweet and chewy red fruit.,Vitamin C;Potassium;Fiber,79 kcal per 100g,Improves sleep;boosts immunity.,Sleep Aid;Snack Fruit
69,Kale,₹100/bundle,https://upload.wikimedia.org/wikipedia/commons/6/6f/Kale_leaves.jpg,Vegetable,Leafy green superfood.,Vitamin K;Vitamin C;Calcium,49 kcal per 100g,Supports bone health;antioxidant rich.,Superfood;Leafy Green
70,Kiwi,₹200/kg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kiwi_aka.jpg,Fruit,Tart and sweet green fruit.,Vitamin C;Vitamin K;Fiber,41 kcal per 100g,Boosts immunity;improves digestion.,Exotic;Vitamin C Rich
71,Kohlrabi,₹40/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Kohlrabi.jpg,Vegetable,Crunchy bulbous stem.,Vitamin C;Potassium;Fiber,27 kcal per 100g,Improves digestion;supports heart health.,Winter Veg;Fiber Rich
72,Leek,₹60/bundle,https://upload.wikimedia.org/wikipedia/commons/6/6e/Leek.jpg,Vegetable,Mild onion-like vegetable.,Vitamin K;Vitamin C;Folate,61 kcal per 100g,Supports heart health;improves digestion.,Soup Veg;Winter Veg
73,Lime,₹6/each,https://upload.wikimedia.org/wikipedia/commons/6/6b/Lime.jpg,Fruit,Small green citrus fruit.,Vitamin C;Citric Acid;Potassium,30 kcal per 100g,Boosts immunity;improves skin.,Citrus;Vitamin C Rich
74,Loganberry,₹350/250g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Loganberries.jpg,Fruit,Hybrid berry similar to raspberry.,Vitamin C;Fiber;Antioxidants,50 kcal per 100g,Improves brain health;antioxidant rich.,Berry;Hybrid
75,Lotus Root,₹80/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Lotus_root.jpg,Vegetable,Crunchy root used in Asian cuisine.,Vitamin C;Fiber;Potassium,74 kcal per 100g,Improves digestion;supports heart health.,Asian Veg;Root Veg
76,Lychee,₹180/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Lychee_fruit.jpg,Fruit,Sweet and juicy tropical fruit.,Vitamin C;Copper;Potassium,66 kcal per 100g,Boosts immunity;improves skin.,Tropical;Summer Fruit
77,Mulberry,₹200/250g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Mulberries.jpg,Fruit,Sweet and tart purple berries.,Vitamin C;Iron;Fiber,43 kcal per 100g,Improves blood health;antioxidant rich.,Berry;Antioxidant
78,Mushroom,₹100/200g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Button_mushrooms.jpg,Vegetable,White button mushrooms.,Vitamin D;Selenium;Fiber,22 kcal per 100g,Boosts immunity;supports metabolism.,Mushroom;Protein Source
79,Nectarine,₹160/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Nectarine.jpg,Fruit,Juicy and sweet stone fruit.,Vitamin C;Vitamin A;Fiber,44 kcal per 100g,Improves skin;boosts immunity.,Summer Fruit;Skin Friendly
80,Okra,₹40/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Okra.jpg,Vegetable,Green pods also called ladyfinger.,Vitamin C;Folate;Fiber,33 kcal per 100g,Supports digestion;good for pregnancy.,Indian Veg;Fiber Rich
81,Olives,₹300/500g,https://upload.wikimedia.org/wikipedia/commons/6/6e/Olives.jpg,Fruit,Salty and tangy Mediterranean fruit.,Vitamin E;Iron;Fiber,115 kcal per 100g,Good for heart;antioxidant rich.,Mediterranean;Healthy Fat
82,Parsley,₹20/bundle,https://upload.wikimedia.org/wikipedia/commons/6/6e/Parsley.jpg,Vegetable,Herb used for garnish and flavor.,Vitamin K;Vitamin C;Folate,36 kcal per 100g,Supports bone health;freshens breath.,Herb;Garnish
83,Passion Fruit,₹250/each,https://upload.wikimedia.org/wikipedia/commons/6/6e/Passion_fruit.jpg,Fruit,Exotic fruit with tangy pulp.,Vitamin C;Fiber;Iron,97 kcal per 100g,Boosts immunity;improves digestion.,Exotic;Antioxidant
84,Peach,₹150/kg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Peach_and_cross_section.jpg,Fruit,Soft and sweet summer fruit.,Vitamin C;Vitamin A;Fiber,39 kcal per 100g,Improves skin;boosts immunity.,Summer Fruit;Skin Friendly
85,Pear,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Pear.jpg,Fruit,Juicy and sweet green fruit.,Vitamin C;Fiber;Potassium,57 kcal per 100g,Improves digestion;supports heart health.,Snack Fruit;Fiber Rich
86,Persimmon,₹200/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Persimmon.jpg,Fruit,Orange fruit with honey-like flavor.,Vitamin A;Vitamin C;Fiber,70 kcal per 100g,Boosts immunity;improves vision.,Exotic;Vitamin A Rich
87,Pineberry,₹350/250g,https://upload.wikimedia.org/wikipedia/commons/6/6e/Pineberry.jpg,Fruit,White strawberry with pineapple flavor.,Vitamin C;Fiber;Antioxidants,50 kcal per 100g,Improves skin;antioxidant rich.,Berry;Exotic
88,Plantain,₹60/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Plantain.jpg,Vegetable,Starchy banana-like fruit.,Potassium;Vitamin C;Fiber,122 kcal per 100g,Provides energy;supports digestion.,Tropical;Energy Booster
89,Prune,₹300/250g,https://upload.wikimedia.org/wikipedia/commons/6/6e/Prunes.jpg,Fruit,Dried plum rich in fiber.,Fiber;Potassium;Vitamin K,240 kcal per 100g,Improves digestion;supports bone health.,Dry Fruit;Digestive
90,Pumpkin,₹30/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Pumpkin.jpg,Vegetable,Large orange squash.,Vitamin A;Vitamin C;Fiber,26 kcal per 100g,Boosts immunity;good for eyes.,Winter Veg;Vitamin A Rich
91,Raspberry,₹220/250g,https://upload.wikimedia.org/wikipedia/commons/5/58/Raspberry_pi.jpg,Fruit,Delicate and sweet red berries.,Vitamin C;Fiber;Antioxidants,52 kcal per 100g,Boosts immunity;improves skin.,Berry;Antioxidant
92,Artichoke,₹120/each,https://upload.wikimedia.org/wikipedia/commons/7/7b/Artichoke_J1.jpg,Vegetable,Edible flower bud with a nutty flavor.,Fiber;Vitamin C;Folate,47 kcal per 100g,Supports liver health;improves digestion.,Mediterranean;Fiber Rich
93,Endive,₹90/bundle,https://upload.wikimedia.org/wikipedia/commons/2/2b/Endive.jpg,Vegetable,Leafy green with a slightly bitter taste.,Vitamin K;Folate;Fiber,17 kcal per 100g,Supports bone health;good for salads.,Leafy Green;Salad
94,Starfruit,₹80/each,https://upload.wikimedia.org/wikipedia/commons/2/2e/Carambola_Starfruit.jpg,Fruit,Yellow tropical fruit shaped like a star.,Vitamin C;Potassium;Fiber,31 kcal per 100g,Boosts immunity;improves digestion.,Exotic;Tropical
95,Red Cabbage,₹40/kg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Red_cabbage_and_cross_section.jpg,Vegetable,Crunchy purple cabbage.,Vitamin C;Vitamin K;Fiber,31 kcal per 100g,Improves digestion;antioxidant rich.,Salad;Antioxidant
96,Watercress,₹60/bundle,https://upload.wikimedia.org/wikipedia/commons/2/2d/Watercress.jpg,Vegetable,Leafy green with a peppery flavor.,Vitamin K;Vitamin C;Calcium,11 kcal per 100g,Supports bone health;antioxidant rich.,Leafy Green;Salad
97,White Mushroom,₹90/200g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Button_mushrooms.jpg,Vegetable,Common edible mushroom.,Vitamin D;Selenium;Fiber,22 kcal per 100g,Boosts immunity;supports metabolism.,Mushroom;Protein Source
98,Red Currant,₹250/250g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Redcurrant_on_bush.jpg,Fruit,Tart and juicy red berries.,Vitamin C;Antioxidants;Fiber,56 kcal per 100g,Improves blood health;antioxidant rich.,Berry;Antioxidant
99,Swiss Chard,₹70/bundle,https://upload.wikimedia.org/wikipedia/commons/6/6e/Swiss_chard.jpg,Vegetable,Leafy green with colorful stems.,Vitamin K;Vitamin A;Magnesium,19 kcal per 100g,Supports bone health;improves vision.,Leafy Green;Superfood
100,Blueberry,₹220/250g,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Fruit,Small blue berries rich in antioxidants.,Vitamin C;Vitamin K;Antioxidants,57 kcal per 100g,Improves memory;reduces aging.,Berry;Brain Food
101,Blackberry,₹250/250g,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=400&q=80,Fruit,Juicy and tart blackberries.,Vitamin C;Fiber;Antioxidants,43 kcal per 100g,Improves brain health;antioxidant rich.,Berry;Brain Food
102,Red Bell Pepper,₹60/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Sweet and crunchy red bell peppers.,Vitamin C;Vitamin A;Antioxidants,31 kcal per 100g,Boosts immunity;improves vision.,Colorful;Salad Veg
103,Yellow Squash,₹45/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Soft and mild yellow squash.,Vitamin C;Manganese;Fiber,16 kcal per 100g,Supports digestion;low calorie.,Summer Veg;Low Calorie
